n,k,cost_min,cost_max,cost_avg,time_avg
10,10,51.0,51.0,51.0,0.70382698
11,11,79.0,79.0,79.0,0.932959
12,12,54.0,54.0,54.0,1.50245881
13,13,103.0,103.0,103.0,2.36212564
14,14,50.0,50.0,50.0,3.15059749
15,15,106.0,106.0,106.0,6.20792937
16,16,113.0,113.0,113.0,9.24778938
17,17,105.0,105.0,105.0,120.31939038
18,18,118.0,118.0,118.0,120.38616387
19,19,106.0,106.0,106.0,15.62757643
20,20,171.0,171.0,171.0,15.8665398
21,21,108.0,108.0,108.0,13.62998184
22,22,156.0,156.0,156.0,120.73303819
23,23,116.0,116.0,116.0,120.78215973
24,24,158.0,160.0,158.7,120.92835323
25,25,217.0,218.0,217.3,121.01470415
26,26,158.0,158.0,158.0,121.13171164
27,27,142.0,158.0,147.3,121.22857555
28,28,158.0,158.0,158.0,121.44251752
29,29,167.0,178.0,174.3,121.59436154
30,30,182.0,182.0,182.0,121.69686222
