n,k,cost,running_time
10,10,51.0,0.71419358253479
11,11,79.0,0.928743839263916
12,12,54.0,1.5416691303253174
13,13,103.0,2.464686870574951
14,14,50.0,3.1701650619506836
15,15,106.0,4.74484395980835
16,16,113.0,10.08822512626648
17,17,105.0,120.31880211830139
18,18,118.0,120.38676381111145
19,19,106.0,15.537142276763916
20,20,171.0,16.621265172958374
21,21,108.0,17.15092158317566
22,22,156.0,120.70830249786377
23,23,116.0,120.7698621749878
24,24,160.0,120.96588611602783
25,25,217.0,121.02041912078857
26,26,158.0,121.13828778266907
27,27,142.0,121.25985836982727
28,28,158.0,121.39768481254578
29,29,178.0,121.62674283981323
30,30,182.0,121.67143893241882
